column,mean_availability
foF2p,100.0
Time,100.0
fmin,96.89845735087466
yE,90.78580834980475
hmE,90.78580834980475
foF2,81.5546884750381
fminF,81.5546884750381
hF,81.5546884750381
hF2,81.5546884750381
MD,81.42522902966117
MUFD,81.42522902966117
fxI,81.22475905773983
FF,80.82646921868887
B0,80.23811325885721
caleF2,80.23811325885721
B1,80.23811325885721
halfNm,80.23811325885721
hmF2,80.23811325885721
TEC,80.23811325885721
yF2,80.22972729327549
foEs,42.84718108064144
minEs,42.84718108064144
hEs,42.84624590688617
foE,39.10671159602782
hE,39.10671159602782
fminE,39.10671159602782
foF1,12.52462116181529
hmF1,11.968167640234057
yF1,11.963901289112416
D1,11.259578730630402
fbEs,9.857155255314591
QF,0.29245307690253336
hEa,0.0
foEa,0.0
QE,0.0
FE,0.0
foP,0.0
peEs,0.0
hP,0.0
